17	97	1335.578	586.207	111	1	905
26	98	1260.433	456.36	152	1	1595
26	99	1250.969	455.603	152	1	1595
27	100	1215.005	454.845	152	1	1638
27	101	1205.92	457.495	152	1	1638
27	102	1212.734	459.767	164	2	1637
38	103	1139.86	533.398	142	2	2506
39	104	1088.564	724.194	128	1	2526
32	105	1242.83	441.974	74	1	2251
3	106	584.883	398.345	29	1	1
3	107	580.057	392.098	29	1	1
3	108	573.526	399.196	32	1	1
3	109	611.856	410.269	35	1	1
3	110	510.117	365.504	35	3	1
3	111	520.149	387.839	33	3	1
3	112	534.156	377.618	33	3	1
3	113	526.206	466.013	74	1	1
3	114	524.313	468.663	82	1	1
3	115	519.013	462.985	82	1	1
3	116	520.527	445.571	98	1	1
3	117	520.149	434.592	103	1	1
3	118	457.685	488.632	93	1	1
3	119	450.303	495.163	93	1	1
3	120	458.537	503.112	98	1	1
3	121	450.871	475.288	100	1	1
3	122	487.781	544.281	84	1	1
3	123	417.652	589.425	87	1	1
3	124	377.619	614.978	105	1	1
3	125	373.644	612.139	105	1	1
3	126	405.443	623.212	105	1	1
3	127	380.174	636.556	105	1	1
3	128	394.654	635.705	110	1	1
3	129	386.137	635.421	110	1	1
3	130	396.642	626.051	116	1	1
3	131	388.692	633.717	116	1	1
3	132	439.23	545.133	116	1	1
3	133	422.763	574.377	116	1	1
3	134	416.232	576.365	116	1	1
3	135	442.353	569.267	116	1	1
3	136	432.132	584.598	124	1	1
3	137	424.182	592.264	124	1	1
3	138	432.132	580.907	121	1	1
3	139	461.376	576.933	114	1	1
3	140	466.771	568.699	118	1	1
3	141	449.168	553.367	123	1	1
3	142	402.32	567.847	123	1	1
3	143	404.592	560.465	123	1	1
3	144	396.358	576.933	121	1	1
3	145	421.059	471.597	127	1	1
3	146	419.923	411.973	126	1	1
3	147	460.809	318.562	123	1	1
3	148	450.303	317.426	123	1	1
